0.02358555793762207 512 543 512
0.02367687225341797 515 527 511
0.023768186569213867 516 513 511
0.023860931396484375 518 502 511
0.023953676223754883 516 497 511
0.024053573608398438 513 502 511
0.024150609970092773 510 516 510
0.024254798889160156 507 534 509
0.024357318878173828 506 547 510
0.0244596004486084 507 555 511
0.024555683135986328 510 555 511
0.024646759033203125 512 547 511
0.024741411209106445 515 533 511
0.02483987808227539 516 518 511
0.02494645118713379 518 504 512
0.025048255920410156 518 498 512
0.025150299072265625 515 500 511
0.025246381759643555 512 512 511
0.025328397750854492 508 528 510
0.025416135787963867 507 543 510
0.02550649642944336 507 552 511
0.02559828758239746 509 556 511
0.025691986083984375 511 549 511
0.02577519416809082 514 536 511
0.02584528923034668 516 523 511
0.025940656661987305 518 507 511
0.026026248931884766 517 499 512
0.02612161636352539 515 499 511
0.02621626853942871 513 508 511
0.026293039321899414 510 524 510
0.026426315307617188 507 540 510
0.026508569717407227 507 551 510
0.026746273040771484 509 556 511
0.02693772315979004 511 552 512
0.027109622955322266 514 542 511
0.02727818489074707 516 527 511
0.027343034744262695 518 512 511
0.02740311622619629 518 500 512
0.02746868133544922 516 497 511
0.027536392211914062 514 504 511
0.027642250061035156 511 518 510
0.027746915817260742 507 536 510
0.0278775691986084 506 547 510
0.02797842025756836 508 555 510
0.02807474136352539 509 555 511
0.028170108795166016 512 545 511
0.028273820877075195 515 531 511
0.028358936309814453 517 516 511
0.02841806411743164 518 504 512
0.02847576141357422 516 498 512
0.028533458709716797 515 502 511
0.028590679168701172 512 514 511
0.028647661209106445 508 530 509
0.028705120086669922 507 545 510
0.0287625789642334 508 553 511
0.028819799423217773 510 555 511
0.028890371322631836 512 548 511
0.02896261215209961 515 536 511
0.02902078628540039 517 519 511
0.029078006744384766 517 507 511
0.029135704040527344 518 498 511
0.029193639755249023 515 499 511
0.0292510986328125 512 509 510
0.02930927276611328 508 525 510
0.02936697006225586 505 541 510
0.029424428939819336 507 551 510
0.029482364654541016 508 556 511
0.029540300369262695 510 551 512
0.029597997665405273 514 540 512
0.029655933380126953 516 521 510
0.03028249740600586 508 555 511
0.030353069305419922 510 555 511
0.030420541763305664 512 547 511
0.030483007431030273 515 533 511
0.03054642677307129 516 518 511
0.030614614486694336 51797 512
0.030667781829833984 514 503 511
0.030730247497558594 511 517 511
0.030791044235229492 508 534 511
0.030853271484375 507 547 510
0.030913829803466797 508 555 511
0.030974864959716797 510 555 511
0.031035184860229492 512 547 511
0.03109288215637207 515 533 511
0.03115057945251465 516 518 511
0.031211376190185547 517 504 511
0.03377556800842285 516 497 511
0.03384280204772949 515 499 510
0.03390073776245117 511 512 510
0.03838992118835449 508 527 510
0.03845715522766113 506 543 510
0.03851890563964844 507 553 510
0.03858065605163574 509 556 511
0.042002201080322266 512 550 511
0.042064666748046875 514 537 512
0.04212474822998047 516 523 511
0.04218411445617676 517 508 511
0.04682636260986328 518 499 512
0.04689168930053711 516 499 511
0.04695320129394531 513 508 511
0.0502324104309082 510 524 510
0.050306081771850586 507 540 511
0.05036449432373047 507 551 511
0.05042219161987305 508 556 511
0.05455923080444336 510 551 511
0.05493593215942383 513 541 511
0.05525517463684082 515 527 511
0.0555722713470459 516 512 511
0.05877518653869629 517 500 511
0.059098243713378906 516 497 511
0.059411048889160156 514 504 511
0.05972123146057129 511 518 510
0.06293106079101562 508 536 510
0.06325554847717285 507 548 511
0.06356930732727051 508 555 511
0.06679797172546387 510 553 511
0.06712555885314941 512 546 511
0.06744170188903809 515 531 511
0.06775665283203125 517 516 511
0.07099151611328125 518 504 512
0.07131505012512207 517 497 511
0.07162880897521973 515 501 511
0.07194161415100098 512 512 510
0.07518863677978516 508 528 510
0.0755162239074707 505 543 509
0.07585740089416504 507 553 510
0.07906079292297363 508 556 511
0.07938647270202637 511 548 511
0.07970046997070312 513 536 511
0.08001375198364258 516 520 511
0.08323884010314941 518 508 511
0.08356261253356934 518 499 512
0.0838778018951416 516 499 512
0.08422732353210449 512 510 510
0.08743405342102051 509 526 511
0.08775639533996582 507 540 510
0.08807659149169922 507 551 511
0.09188270568847656 508 556 511
0.09231901168823242 510 551 511
0.09264087677001953 513 540 511
0.09295487403869629 516 526 511
0.09611916542053223 516 511 511
0.09650087356567383 517 499 511
0.09682178497314453 515 497 511
0.09713292121887207 513 504 511
0.10038518905639648 510 519 510
0.10071825981140137 507 536 510
0.10103416442871094 505 549 511
0.10134339332580566 508 556 511
0.10460114479064941 510 553 511
0.10504865646362305 513 545 512
0.10537052154541016 516 531 512
0.10786128044128418 517 515 511
0.10845255851745605 518 502 511
0.1089780330657959 516 497 511
0.1094965934753418 515 502 511
0.11198782920837402 511 515 510
0.11255478858947754 508 531 510
0.11307954788208008 506 545 510
0.1136012077331543 507 553 510
0.11626172065734863 509 555 511
0.11680364608764648 511 547 511
0.11734151840209961 515 535 511
0.11995077133178711 516 519 511
0.12046384811401367 517 505 511
0.12078118324279785 516 497 511
0.12109565734863281 515 499 511
0.12432241439819336 512 511 511
0.12465262413024902 508 527 511
