5.4836273193359375e-06 2527 511
0.011883258819580078 512 527 511
0.01199483871459961 512 527 511
0.012055635452270508 512 527 511
0.01211404800415039 511 527 511
0.012172222137451172 512 527 511
0.012231111526489258 511 527 511
0.012295722961425781 512 527 511
0.012354612350463867 512 527 511
0.01241302490234375 512 527 512
0.012471914291381836 512 527 512
0.01253056526184082 512 528 512
0.012588739395141602 512 528 512
0.012647390365600586 512 527 512
0.012705802917480469 512 527 511
0.012779712677001953 512 527 511
0.012836456298828125 512 527 511
0.012892961502075195 512 527 511
0.012950658798217773 512 527 511
0.013007640838623047 511 527 511
0.013064384460449219 512 527 510
0.01312112808227539 512 527 511
0.013177871704101562 511 527 511
0.013255119323730469 511 527 511
0.013317108154296875 512 527 511
0.01337885856628418 512 527 511
0.013435602188110352 512 527 511
0.013493061065673828 512 527 512
0.013549566268920898 512 527 511
0.013606786727905273 512 527 511
0.013663053512573242 512 527 511
0.013719797134399414 512 527 511
0.013776063919067383 512 527 511
0.013833045959472656 512 527 511
0.013889789581298828 512 527 511
0.013946533203125 512 527 512
0.01400613784790039 512 527 511
0.014063358306884766 512 527 511
0.014120101928710938 512 527 511
0.014176607131958008 512 527 511
0.014234304428100586 512 527 511
0.01429128646850586 513 527 511
0.01434779167175293 512 527 511
0.014404058456420898 512 527 511
0.01446080207824707 512 527 511
0.014517068862915039 512 527 512
0.01457357406616211 513 527 512
0.014630556106567383 513 527 512
0.014687061309814453 513 527 511
0.014751434326171875 512 527 511
0.014808177947998047 513 527 511
0.014864444732666016 512 527 511
0.014921188354492188 512 527 512
0.014980077743530273 512 527 512
0.015036821365356445 512 527 511
0.015093326568603516 512 526 511
0.015149831771850586 512 526 511
0.015205860137939453 512 527 511
0.015262603759765625 512 527 511
0.015318870544433594 511 527 511
0.015375137329101562 512 527 511
0.01543116569519043 512 527 511
0.015487909317016602 512 527 511
0.015544652938842773 512 527 512
0.01560068130493164 512 527 512
0.015657663345336914 513 526 511
0.015714645385742188 513 527 511
0.015771150588989258 513 527 511
0.015827655792236328 512 527 511
